TIGR00001	ribosomal protein L35
TIGR03983	CRISPR-associated endonuclease Cas1, subtype MYXAN
TIGR03984	CRISPR-associated protein, TIGR03984 family
TIGR03985	CRISPR-associated protein, TIGR03985 family
TIGR03986	CRISPR-associated protein
TIGR03987	TIGR03987 family protein
TIGR03988	mycothiol system anti-sigma-R factor
TIGR03989	NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family
TIGR03990	phosphoglucosamine mutase
TIGR03991	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03992	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03993	[NiFe] hydrogenase assembly chaperone, HybE family
TIGR03994	coproporphyrinogen dehydrogenase HemZ
TIGR03995	putative rSAM target protein, CGCGG family
TIGR03996	mycofactocin system FadH/OYE family oxidoreductase 1
TIGR03997	mycofactocin system FadH/OYE family oxidoreductase 2
TIGR03998	bacillithiol biosynthesis cysteine-adding enzyme BshC
TIGR03999	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA
TIGR04000	bacillithiol biosynthesis deacetylase BshB2
TIGR04001	bacillithiol biosynthesis deacetylase BshB1
TIGR04002	TIGR04002 family protein
TIGR04003	[benzylsuccinate synthase]-activating enzyme
TIGR04004	colanic acid biosynthesis protein WcaM
TIGR04005	colanic acid biosynthesis glycosyltransferase WcaL
TIGR04006	colanic acid biosynthesis pyruvyl transferase WcaK
TIGR04007	colanic acid biosynthesis glycosyltransferase WcaI
TIGR04008	colanic acid biosynthesis acetyltransferase WcaF
TIGR04009	colanic acid biosynthesis glycosyltransferase WcaE
TIGR04010	putative colanic acid polymerase WcaD
TIGR04011	poly-gamma-glutamate biosynthesis protein PgsC
TIGR04012	poly-gamma-glutamate synthase PgsB
TIGR04013	B12-binding domain/radical SAM domain protein, MJ_1487 family
TIGR04014	B12-binding domain/radical SAM domain protein, MJ_0865 family
TIGR04015	colanic acid biosynthesis glycosyltransferase WcaC
TIGR04016	colanic acid biosynthesis acetyltransferase WcaB
TIGR04017	colanic acid biosynthesis glycosyltransferase WcaA
TIGR04018	putative bacillithiol system oxidoreductase, YpdA family
TIGR04019	bacillithiol system protein YtxJ
TIGR04020	natural product biosynthesis luciferase-like monooxygenase domain
TIGR04021	dimethyl sulfone monooxygenase SfnG
TIGR04022	sulfur acquisition oxidoreductase, SfnB family
TIGR04023	PPOX class probable F420-dependent enzyme, MSMEG_5819 family
TIGR04024	coenzyme F420-dependent oxidoreductase, NP1902A family
TIGR04025	pyridoxamine 5'-phosphate oxidase, FMN-binding family
TIGR04026	PPOX class probable FMN-dependent enzyme, alr4036 family
TIGR04027	putative FMN-dependent luciferase-like monooxygenase, KPN_01858 family
TIGR04028	ABC transporter substrate binding protein, KPN_01854 family
TIGR04029	CMD domain protein, Avi_7170 family
TIGR04030	alkylhydroperoxidase domain protein, Avi_7169 family
TIGR04031	rSAM-partnered protein, Htur_1727 family
TIGR04032	antimicrobial peptide, SdpC family
TIGR04033	antimicrobial peptide system protein, SdpB family
TIGR04034	antimicrobial peptide system protein, SdpA family
TIGR04035	glucan-binding repeat
TIGR04036	putative luciferase-like monooxygenase, FMN-dependent, CE1758 family
TIGR04037	LLM-partnered FMN reductase, CE1759 family
TIGR04038	radical SAM protein, TatD family-associated
TIGR04039	di-heme enzyme, MXAN_0977 family
TIGR04040	glycine radical enzyme, YjjI family
TIGR04041	glycine radical enzyme activase, YjjW family
TIGR04042	MSMEG_0570 family protein
TIGR04043	radical SAM protein, MSMEG_0568 family
TIGR04044	MSMEG_0572 family protein
TIGR04045	putative N-acetyltransferase, MSMEG_0567 N-terminal domain family
TIGR04046	flavin-dependent oxidoreductase, MSMEG_0569 family
TIGR04047	glycosyltransferase, MSMEG_0565 family
TIGR04048	putative nitrilase, sll0784 family
TIGR04049	AIR synthase-related protein, sll0787 family
TIGR04050	AIR synthase-related protein, MSMEG_0567 C-terminal family
TIGR04051	heme d1 biosynthesis radical SAM protein NirJ
TIGR04052	AZL_007920/MXAN_0976 family protein
TIGR04053	radical SAM protein, BA_1875 family
TIGR04054	putative heme d1 biosynthesis radical SAM protein NirJ1
TIGR04055	putative heme d1 biosynthesis radical SAM protein NirJ2
TIGR04056	TonB-linked outer membrane protein, SusC/RagA family
TIGR04057	TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region
TIGR04058	long-chain fatty acyl-ACP reductase (aldehyde-forming)
TIGR04059	long-chain fatty aldehyde decarbonylase
TIGR04060	formate transporter FocA
TIGR04061	AZL_007950 family protein
TIGR04062	dnd system-associated protein 4
TIGR04063	PEP-CTERM/exosortase A-associated glycosyltransferase, Daro_2409 family
TIGR04064	nif11-like peptide radical SAM maturase
TIGR04065	putative bacteriocin precursor, CLI_3235 family
TIGR04066	peptide maturation system protein, TIGR04066 family
TIGR04067	putative bacteriocin precursor, CLOSPO_01332 family
TIGR04068	Cys-rich peptide radical SAM maturase CcpM
TIGR04069	peptide maturation system acyl carrier-related protein
TIGR04070	spore photoproduct lyase
TIGR04071	methanobactin precursor, Mb-OB3b family
TIGR04072	lipid biosynthesis B12-binding/radical SAM protein
TIGR04073	putative exosortase-associated protein, TIGR04073 family
TIGR04074	3' terminal RNA ribose 2'-O-methyltransferase Hen1
TIGR04075	polynucleotide kinase-phosphatase
TIGR04076	TIGR04076 family protein
TIGR04077	exported signaling peptide, YydF/SAG_2028 family
TIGR04078	peptide modification radical SAM enzyme, YydG family
TIGR04079	KxxxW-cyclized secreted peptide
TIGR04080	KxxxW cyclic peptide radical SAM maturase
TIGR04081	radical SAM modification target peptide, selenobiotic family
TIGR04082	selenobiotic family peptide radical SAM maturase
TIGR04083	putative peptide-modifying radical SAM enzyme, Mhun_1560 family
TIGR04084	putative peptide-modifying radical SAM enzyme, AF0577 family
TIGR04085	radical SAM additional 4Fe4S-binding SPASM domain
TIGR04086	putative membrane protein, TIGR04086 family
TIGR04087	YqxM protein
TIGR04088	SipW-cognate class signal peptide
TIGR04089	alternate signal-mediated exported protein, RER_14450 family
TIGR04090	alternate signal-mediated exported protein, CPF_0494 family
TIGR04091	D-alanyl-lipoteichoic acid biosynthesis protein DltB
TIGR04092	D-alanyl-lipoteichoic acid biosynthesis protein DltD
TIGR04093	CRISPR-associated endonuclease Cas1, subtype CYANO
TIGR04094	YSIRK-targeted surface antigen transcriptional regulator
TIGR04095	DNA phosphorothioation system restriction enzyme
TIGR04096	DNA phosphorothioation-associated putative methyltransferase
TIGR04098	biosynthesis cluster domain
TIGR04099	probable biosynthetic protein, Pnap_2097 family
TIGR04100	radical SAM enzyme, TIGR04100 family
TIGR04101	CCGSCS motif protein
TIGR04102	SWIM/SEC-C metal-binding motif protein, PBPRA1643 family
TIGR04103	nif11-class peptide radical SAM maturase 3
TIGR04104	cxxc_20_cxxc protein
TIGR04105	[FeFe] hydrogenase, group B1/B3
TIGR04106	CRISPR-associated protein GSU0052/csb3, Dpsyc system
TIGR04107	putative heme utilization radical SAM enzyme HutW
TIGR04108	putative heme utilization carrier protein HutX
TIGR04109	heme oxygenase, HugZ family
TIGR04110	heme utilization protein HutZ
TIGR04111	phage-associated protein, BcepMu gp16 family
TIGR04112	putative selenium metabolism protein, YedE family
TIGR04113	CRISPR-associated protein Csx17, subtype Dpsyc
TIGR04114	modification target Cys-rich repeat
TIGR04115	radical SAM peptide maturase, CXXX-repeat target family
TIGR04116	CXXX repeat peptide modification system protein
TIGR04117	Cys-Xaa-Xaa-Xaa repeat radical SAM target protein
TIGR04118	modification target Cys-rich peptide, AC3_0185 family
TIGR04119	CXXX repeat peptide maturase
TIGR04120	DNA ligase, ATP-dependent, PP_1105 family
TIGR04121	DEXH box helicase, DNA ligase-associated
TIGR04122	putative exonuclease, DNA ligase-associated
TIGR04123	metallophosphoesterase, DNA ligase-associated
TIGR04124	archaeosortase family protein ArtE
TIGR04125	archaeosortase A
TIGR04126	PGF-CTERM archaeal protein-sorting signal
TIGR04127	exosortase F-associated protein
TIGR04128	exosortase family protein XrtF
TIGR04129	CxxH/CxxC protein, BA_5709 family
TIGR04130	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase
TIGR04131	gliding motility-associated C-terminal domain
TIGR04132	putative folate metabolism gamma-glutamate ligase
TIGR04133	radical SAM enzyme, rSAM/lipoprotein system
TIGR04134	putative lipoprotein, rSAM/lipoprotein system
TIGR04135	Cys-rich radical SAM target, FibroRumin family
TIGR04136	radical SAM peptide maturase, FibroRumin system
TIGR04137	Chlam_Verruc_Plancto small basic protein
TIGR04138	Verruc_Plancto-restricted protein
TIGR04139	putative peptide modification target, TIGR04139 family
TIGR04140	TIGR04140 family protein
TIGR04141	sporadically distributed protein, TIGR04141 family
TIGR04142	putative peptidyl-prolyl cis-trans isomerase, LIC12922 family
TIGR04143	VPXXXP-CTERM protein sorting domain
TIGR04144	archaeosortase B
TIGR04145	Firmicu-CTERM domain
TIGR04146	phosphoglycerol geranylgeranyltransferase
TIGR04147	phosphoglycerol geranylgeranyltransferase, putative
TIGR04148	radical SAM peptide maturase, GG-Bacteroidales family
TIGR04149	natural product precursor, GG-Bacteroidales family
TIGR04150	pseudo-rSAM protein, GG-Bacteroidales system
TIGR04151	exosortase C, VPDSG-CTERM-specific
TIGR04152	exosortase D, VPLPA-CTERM-specific
TIGR04153	cyanosortase-associated protein
TIGR04154	oligosaccharyl transferase, archaeosortase A system-associated
TIGR04155	PEP-CTERM protein sorting domain, cyanobacterial subclass
TIGR04156	cyanoexosortase B
TIGR04157	glycosyltransferase, GG-Bacteroidales peptide system
TIGR04158	3-methyl-2-indolic acid synthase
TIGR04159	methanobactin biosynthesis cassette protein MbnB
TIGR04160	methanobactin biosynthesis cassette protein MbnC
TIGR04161	VPEID-CTERM protein sorting domain
TIGR04162	exosortase E/protease, VPEID-CTERM system
TIGR04163	peptide-modifying radical SAM enzyme CbpB
TIGR04164	modified peptide precursor CbpA
TIGR04165	Cys-rich peptide, TIGR04165 family
TIGR04166	tetrahydromethanopterin S-methyltransferase, subunit B
TIGR04167	radical SAM/Cys-rich domain protein
TIGR04168	TIGR04168 family protein
TIGR04169	alkylhydroperoxidase/carboxymuconolactone decarboxylase family protein
TIGR04170	ribonucleoside-diphosphate reductase, class 1b, alpha subunit
TIGR04171	ribonucleoside-diphosphate reductase, class 1b, beta subunit
TIGR04172	DNA phosphorothioation-associated DGQHR protein 1
TIGR04173	PIP-CTERM protein sorting domain
TIGR04174	IPTL-CTERM protein sorting domain
TIGR04175	archaeosortase D
TIGR04176	EPS-associated transcriptional regulator, MarR family
TIGR04177	exosortase H, IPTLxxWG-CTERM-specific
TIGR04178	exosortase/archaeosortase family protein
TIGR04179	rhombotail lipoprotein
TIGR04180	NAD dependent epimerase/dehydratase, LLPSF_EDH_00030 family
TIGR04181	aminotransferase, LLPSF_NHT_00031 family
TIGR04182	glycosyltransferase, TIGR04182 family
TIGR04183	Por secretion system C-terminal sorting domain
TIGR04184	ATP-grasp ribosomal peptide maturase, MvdD family
TIGR04185	ATP-grasp ribosomal peptide maturase, MvdC family
TIGR04186	putative ATP-grasp target RiPP
TIGR04187	ATP-grasp ribosomal peptide maturase, SAV_5884 family
TIGR04188	methyltransferase, ATP-grasp peptide maturase system
TIGR04189	cell surface protein SprA
TIGR04190	B12-binding domain/radical SAM domain protein, Ta0216 family
TIGR04191	putative bacilliredoxin, YphP/YqiW family
TIGR04192	ATP-GRASP peptide maturase, grasp-with-spasm system
TIGR04193	SPASM domain peptide maturase, grasp-with-spasm system
TIGR04194	grasp-with-spasm leader A domain
TIGR04195	peptide S-glycosyltransferase, SunS family
TIGR04196	glycopeptide, sublancin family
TIGR04197	type VII secretion effector, TIGR04197 family
TIGR04198	mRNA capping enzyme
TIGR04199	exosortase J
TIGR04200	XrtJ-associated TM-motif-TM protein
TIGR04201	Cys-rich repeat, Myxococcales-type
TIGR04202	RNA endonuclease, cap-snatching
TIGR04203	Streptococcal surface-anchored protein repeat, S. criceti family
TIGR04204	MAST domain
TIGR04205	class III signal peptide protein, archaeosortase D/PIP-CTERM system
TIGR04206	TIGR04206 family protein
TIGR04207	surface glycoprotein signal peptide
TIGR04209	sarcinarray family protein
TIGR04210	bunyavirus nonstructural protein NSm
TIGR04211	SH3 domain protein
TIGR04212	rhombotarget A
TIGR04213	PGF-pre-PGF domain
TIGR04214	CSLREA domain
TIGR04215	choice-of-anchor A domain
TIGR04216	major cell surface glycoprotein
TIGR04217	archaetidylserine synthase
TIGR04218	ribosomal natural product, plantazolicin-class
TIGR04219	outer membrane protein
TIGR04220	cyanobactin biosynthesis protein, PatB/AcyB/McaB family
TIGR04221	accessory Sec system translocase SecA2
TIGR04222	TIGR04222 domain
TIGR04223	cyclic lactone autoinducer peptide
TIGR04224	serine-rich repeat adhesion glycoprotein
TIGR04225	CshA-type fibril repeat
TIGR04226	fimbrial isopeptide formation D2 domain
TIGR04227	zinc metalloproteinase 18-residue repeat
TIGR04228	adhesin isopeptide-forming adherence domain
TIGR04229	putative radical SAM-modified peptide
TIGR04230	seadornavirus VP11 protein
TIGR04231	seadornavirus VP5 protein
TIGR04232	seadornavirus VP3 protein
TIGR04233	seadornavirus VP8 protein
TIGR04234	RNA-directed RNA polymerase
TIGR04235	seadornavirus VP4 protein
TIGR04236	seadornavirus VP2 protein
TIGR04237	seadornavirus/coltivirus VP9 protein
TIGR04238	seadornavirus double-stranded RNA-binding protein
TIGR04239	rhomboid family protease GlpG
TIGR04240	flavivirus envelope glycoprotein E, stem/anchor domain
TIGR04241	mastadenovirus E3 CR1-alpha-1
TIGR04242	chitooligosaccharide synthase NodC
TIGR04243	chitooligosaccharide deacetylase NodB
TIGR04244	nitrous-oxide reductase, TAT-dependent
TIGR04245	N-acyltransferase NodA
TIGR04246	nitrous-oxide reductase, Sec-dependent
TIGR04247	nitrous oxide reductase family maturation protein NosD
TIGR04248	SynChlorMet cassette protein ScmD
TIGR04249	SynChlorMet cassette protein ScmC
TIGR04250	SynChlorMet cassette radical SAM/SPASM protein ScmE
TIGR04251	SynChlorMet cassette radical SAM/SPASM protein ScmF
TIGR04252	SynChlorMet cassette protein ScmA
TIGR04253	mesaconyl-CoA isomerase
TIGR04254	putative globular PEP-CTERM protein
TIGR04255	TIGR04255 family protein
TIGR04256	GxxExxY protein
TIGR04257	c(7)-type cytochrome triheme domain
TIGR04258	four helix bundle suffix domain
TIGR04259	oxalate/formate antiporter
TIGR04260	rSAM-associated Gly-rich repeat protein
TIGR04261	radical SAM/SPASM domain protein, GRRM system
TIGR04262	extracellular substrate-binding orphan protein, GRRM family
TIGR04263	SasC/Mrp/FmtB intercellular aggregation domain
TIGR04264	hyperosmolarity resistance protein Ebh
TIGR04265	cardiolipin synthase
TIGR04266	NDMA-dependent methanol dehydrogenase
TIGR04267	HEXXH motif domain
TIGR04268	FXSXX-COOH protein
TIGR04269	radical SAM/SPASM domain protein, FxsB family
TIGR04270	methylamine methyltransferase corrinoid protein reductive activase
TIGR04271	thiazole biosynthesis domain
TIGR04272	CxxC-x17-CxxC domain
TIGR04273	sulfation-dependent quorum factor, Ax21 family
TIGR04274	DNA-deoxyinosine glycosylase
TIGR04275	beta propeller repeat
TIGR04276	FxsC C-terminal domain
TIGR04277	tetrahymanol synthase
TIGR04278	antiviral radical SAM protein viperin
TIGR04279	TIGR04279 domain
TIGR04280	putative geopeptide radical SAM maturase
TIGR04281	putative ABC transporter PGF-CTERM-modified substrate-binding protein
TIGR04282	transferase 1, rSAM/selenodomain-associated
TIGR04283	transferase 2, rSAM/selenodomain-associated
TIGR04284	aldehyde dehydrogenase, Rv0768 family
TIGR04285	nucleoid occlusion protein
TIGR04286	MSEP-CTERM protein
TIGR04287	exosortase K
TIGR04288	CGP-CTERM domain
TIGR04289	eight-cysteine-cluster domain
TIGR04290	methyltransferase, Rta_06860 family
TIGR04291	arsenical pump-driving ATPase
TIGR04292	heavy-Cys/GCP-CTERM domain protein
TIGR04293	archaeosortase family protein ArtF
TIGR04294	prepilin-type processing-associated H-X9-DG domain
TIGR04295	B12-binding domain/radical SAM domain protein, rhizo-twelve system
TIGR04296	PEFG-CTERM domain
TIGR04297	thaumarchaeosortase
TIGR04298	histidine-histamine antiporter
TIGR04299	putrescine-ornithine antiporter
TIGR04300	exosortase family protein XrtM
TIGR04301	ornithine decarboxylase SpeF
TIGR04302	GeoRSP system PqqD family protein
TIGR04303	GeoRSP system radical SAM/SPASM protein
TIGR04304	GeoRSP system SPASM domain protein
TIGR04305	putative folate metabolism protein, CADD family
TIGR04306	thiaminase II
TIGR04307	proline-rich tail region repeat
TIGR04308	surface protein repeat SSSPR-51
TIGR04309	amanitin/phalloidin family toxin
TIGR04310	pantocin A family RiPP
TIGR04311	putative metalloenzyme radical SAM/SPASM domain maturase
TIGR04312	choice-of-anchor B domain
TIGR04313	aromatic cluster surface protein
TIGR04314	methanogenesis multiheme c-type cytochrome
