UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
P-PANTOCYSDECARB-ENZRXN	4'-phosphopantothenoylcysteine decarboxylase
ENZRXN-17623	adenylylsulfate:phosophate adenylyltransferase
ENZRXN-18574	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
ENZRXN-16862	glutamine <i>N</i>-phenylacetyltransferase
ENZRXN1G-4620	trans-keto-C61-meroacyl-AMP ligase
CHORISMATEMUT1-ENZRXN	chorismate mutase
ENZRXNQT-7247	dihydroorotate dehydrogenase
ENZRXN-20218	&beta;-methylmalyl-CoA dehydratase
ENZRXN-17689	3-oxo-3-phenylpropionyl-CoA thiolase
ENZRXN-18850	diapolycopene oxygenase
ENZRXN-17902	cholate 7&alpha;-hydroxy dehydrogenase
ENZRXN-19409	&gamma;-glutamyl transpeptidase
ENZRXN-5643	presqualene diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN0-1563	tRNA-dihydrouridine synthase
ENZRXN-13903	glucose-6-phosphate isomerase
ENZRXN-12034	7-methylxanthine:S-adenosyl-L-methione 3-N-methyltransferase
ENZRXN-4281	NAD-dependent formate dehydrogenase
ENZRXN0-2707	peptidyl-prolyl <i>cis-trans</i> isomerase
ENZRXN-6866	<i>meso</i>-diaminopimelate dehydrogenase
ENZRXN-2202	tetrachlorohydroquinone reductive dehalogenase
ENZRXN66-5936	hormone-sensitive lipase
ENZRXN-21498	GA20 3&beta;-dioxygenase
ENZRXN1G-221	3-hydroxylignoceroyl-[acyl-carrier protein] dehydratase
ENZRXN66-1078	hexose phosphorylase
ENZRXN-13287	marmesin synthase
ENZRXN-16420	12-hydroxyjasmonate sulfotransferase
ENZRXN-13607	&alpha;-terpinene synthase
ENZRXN-17268	peptidyl-glutamate 4-carboxylase
ENZRXN-17150	5-phosphoribosyl 1-pyrophosphate pyrophosphatase
ENZRXN0-6165	aminopeptidase
ENZRXN-12835	&beta;-amyrin-hydroxylase
ENZRXN-16049	acyl-L-homoserine-lactone lactonohydrolase
ENZRXN-1062	sulfite:ferric ion oxidoreductase
ENZRXN-18433	dissimilatory sulfite reductase
ENZRXN-20321	UDP-<i>N</i>-acetylglucosamine C-6 dehydratase
ENZRXN-15757	4-chlorocatechol 1,2-dioxygenase
ENZRXN-19145	diacylglycerol transacylase
ENZRXN-21143	phenylalanine hydroxylase
ENZRXN-15234	(<i>R</i>)-3-hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase
ENZRXN-14922	coenzyme F<sub>390</sub> synthetase
ENZRXN-18196	chloro-purine nucleoside phosphorylase
ENZRXN-5021	2-keto-3-deoxygluconate aldolase
ENZRXN-12264	pyruvate kinase
ENZRXN1F-1142	naringenin,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-21026	(S)-scoulerine 9-O-methyltransferase
ENZRXN-19816	citrate CoA-transferase
ENZRXN-8903	&alpha;-acetolactate synthase
ENZRXN-13709	hexokinase
ENZRXN-17499	tricoumaroyl spermidine hydroxylase
ENZRXNT9-772	PI(4,5)P<sub>2</sub>phosphoinositide 5-phosphatase
ENZRXN-20034	D-galactitol dehydrogenase
ENZRXN-8282	L-tryptophan decarboxylase
ENZRXN-18638	4&alpha;-carboxy-5&alpha;-cholesta-7,24-dien-3&beta;-ol dehydrogenase/C4-decarboxylase
ENZRXN-18050	chondroitin A lyase
AICARSYN-ENZRXN	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase
ENZRXN-14531	2-methylcitrate synthase
ENZRXN-19922	dTDP-(2R,4S,6S)-4,6-dihydroxy-2,4-dimethyloxan-3-one 4-ketoreductase
ENZRXN-19290	8-hydroxy-5-deazaflavin:NADPH oxidoreductase
ENZRXN-14416	ribulose bisphosphate carboxylase
ENZRXN0-242	guanine deaminase
ENZRXN-3323	nitroglycerin reductase
ENZRXN-6069	omega-hydroxy fatty acid oxidase
ENZRXN-2803	glycerol kinase
ENZRXN3O-1613	(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase
ENZRXN-11966	gibberellin A51,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-20738	acetyl-CoA <em>C</em>-octanoyltransferase
ENZRXN-16758	casbene synthetase
ENZRXN-21383	quercetin 3-<i>O</i>-&beta;-<i>D</i>-galactoside-2"-<i>O</i>-glucosyltransferase
ENZRXN66-6848	androstenedione hydroxylase
ENZRXN-13428	tetrahydroxychalcone 4'-<i>O</i>-glucoside:oxygen oxidoreductase
ENZRXN1G-483	trans-delta2-cis-delta15-C34:3-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN0-6441	O-antigen ligase
DALADALALIGA-ENZRXN	D-alanine-D-alanine ligase A
ENZRXN-13215	1-18:2-2-16:0-digalactosyldiacylglycerol desaturase
ENZRXN-20625	2-phenylethanol acetyltransferase
ENZRXN8J2-1415	hydroxymethylpyrimidine kinase
ENZRXN-12726	4-coumaroyl-CoA:shikimate O-(hydroxycinnamoyl)transferase
ENZRXN-17199	dehydroascorbate reductase
ENZRXN-15585	calcitriol 24-hydroxylase
ENZRXN-12062	2-oxoisovalerate dehydrogenase
ENZRXN-16117	histidine decarboxylase
ENZRXN-15432	2-hydroxylamino-4,6-dinitrotoluene UDP-glucosyl transferase
ENZRXN-14010	isocitrate dehydrogenase
ENZRXN0-7652	L-1-glycerophophorylethanolamine phosphodiester
ENZRXN-14124	chlorophyllide <i>a</i> reductase
ENZRXN-13318	cometabolic reductive dechlorination of dichloromethane
ENZRXN-14805	tropinone reductase
ENZRXN-21075	13<SUP>1</SUP>-oxo-magnesium-protoporphyrin IX 13-monomethyl ester dehydrogenase
ENZRXN-19635	pheophytinase b
ENZRXN66-18122	phytanate-CoA ligase
ENZRXN-18259	baicalin-&beta;-D-glucuronidase
ENZRXN-19455	lecithin:11-<i>cis</i> retinol acyltransferase
RHAMNULOKIN-ENZRXN	L-rhamnulose kinase
ENZRXN66-2161	diphosphomevalonate decarboxylase
ENZRXN-18463	3-hydroxy-3-isohexenylglutaryl-CoA lyase
ENZRXNQT-4500	D-<i>myo</i>-inositol (1,4,5)-trisphosphate 5-phosphatase
ENZRXN-1121	biotin synthase
ENZRXN-8562	tyrosine decarboxylase
ENZRXN-11646	argininosuccinate lyase
ENZRXN-20107	2-deoxystreptamine glucosyltransferase
ENZRXN-21547	geranyl diphosphate synthase
ENZRXN1F-42	methyl (-)-jasmonate methylesterase
ENZRXN-17978	6-deoxoteasterone 6-oxidase
ENZRXN-12500	sphinganine 4-hydroxylase
ENZRXN-12389	L,L-diaminopimelate aminotransferase
ENZRXN-9927	gibberellin A17,oxoglutarate:oxygen oxidoreductase
ENZRXN-14467	germacrene D synthase
ENZRXN-13033	lysine &epsilon;-aminotransferase
ENZRXN-366	sorbitol-6-phosphate 2-dehydrogenase
THYKI-ENZRXN	thymidine kinase
ENZRXN-15924	D-amino acid oxidase
ENZRXN-2504	UDP-glucose:1,4-&beta;-D-glucan 4-&beta;-D-glucosyltransferase
ENZRXN-18741	thiol oxidase
ENZRXN-16870	sulfur dioxygenase
ENZRXN66-512	prostaglandin G/H synthase
ENZRXN-16805	octaketide 4b synthase
ENZRXN0-7359	malonic semialdehyde reductase
ENZRXN-18078	<i>O</i>-citryl-ethanolamine:diaminobutyrate ligase
ENZRXN-13498	2-keto-6-phosphogluconate reductase
ENZRXN-12881	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--lysine ligase
ENZRXN-6387	UDP-glucose:<i>trans</i>-zeatin 7-N-glucosyltransferase
ENZRXN0-6280	murein hydrolase
ENZRXN-18858	lactotriosylceramide &beta;-1,4-galactosyltransferase
ENZRXN-2873	stachydrine methyltransferase
ENZRXN-17091	myo-inositol-1,3,4,5,6-pentakisphosphate 1-phosphatase
ENZRXN-20672	cytochrome <i>c</i>554
L-LACTDEHYDROGFMN-ENZRXN	L-lactate dehydrogenase
ENZRXN3O-1002	hypoxanthine phosphoribosyltransferase
ENZRXN-15650	benzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)
ENZRXN-14972	(3S,6S)-6-isopropenyl-3-methyloxepan-2-one hydrolase
ENZRXN-15339	pseudouridine kinase
ENZRXN-69	UDP-D-xylose 4-epimerase
ENZRXN-15461	dimethylsulfone monooxygenase
ENZRXN-19082	3-aminopropanal dehydrogenase
ENZRXN-16216	L-tyrosine:pyruvate aminotransferase
ENZRXN-14058	D-xylose dehydrogenase
ENZRXN-17813	anthranilate hydroxylase
ENZRXN-19701	L-cystathione &beta;-lyase
GARTSIDE-ENZRXN	acetate kinase
ENZRXN-19492	<i>all-trans</i>-retinol dehydrogenase
ENZRXN-17590	serinol phosphate phosphatase
ENZRXN-16428	luteolin-7-O-glucuronide 2''-O-glucuronosyltransferase
ENZRXN-18358	anthranilate synthase
ENZRXN-20971	<i>scyllo</i>-inositol dehydrogenase
ENZRXN66-19603	NADPH-dependent <i>trans</i>-2-enoyl-CoA reductase
ENZRXN-21687	glucose dehydrogenase (quinone)
ENZRXN-11859	polyamine aminotransferase
ENZRXN-17667	L-2,4-diaminobutyrate decarboxylase
ENZRXN-21572	ADP-glucose pyrophosphorylase
ENZRXN-19384	acyl-CoA oxidase
ENZRXN-20211	hydroxybutyryl-coA dehydrogenase
ENZRXN-20328	a [protein]-<i>O</i>-trisaccharide-L-serine synthase
ENZRXN-7903	indole-3-glyoxal side chain oxidase
ENZRXN-1141	histidase
ENZRXN0-4801	D-alanyl-D-alanine carboxypeptidase
UDP-NACMUR-ALA-LIG-ENZRXN	UDP-N-acetylmuramate-alanine ligase
ENZRXN-13106	UDP-glucose:kaempferol 7-O-beta-D-glucosyltransferase
ENZRXN0-2606	3-hydroxyadipyl-CoA dehydrogenase
ENZRXN-4246	hexulose-6-phosphate synthase
ENZRXN-21471	baicalein peroxidase 3
ENZRXN-5045	2-dehydro-3-deoxy-D-gluconate-6-phosphate D-glyceraldehyde-3-phosphate-lyase (pyruvate-forming)
ENZRXN-12912	butyryl-CoA:acetoacetate CoA-transferase
ENZRXN-14338	vinylacetyl-CoA &Delta; 3-&Delta; 2-isomerase
ENZRXN-12434	nicotinate N-methyltransferase
ENZRXN-15132	acetoacetyl-[acp] reductase
ENZRXN-13600	longicyclene synthase
ENZRXN0-7435	tellurite methyltransferase
ENZRXN-17250	D-alanine--D-alanine ligase
ENZRXN-12812	F420-0-glutamyl ligase
ENZRXN-13720	lactonase
ENZRXN-15005	terpentedienyl-diphosphate synthase
ENZRXN-16694	<i>N<sup></sup></i>-citryl-spermidine:spermidine ligase
ENZRXN-15748	4-chloro-2-methylphenol 6-monooxygenase
ENZRXN-18792	S-adenosyl-L-methionine:halide/bisulfide methyltransferase
ENZRXN-17410	7-dimethylallyltryptophan synthase
NICOTINAMID-ENZRXN	nicotinamidase
ENZRXN-21124	hydroxy fatty acid &beta;-glucosyltransferase
ENZRXN0-6517	mannose isomerase
ENZRXN-14889	isochorismatase
ENZRXN-19929	dTDP-4-dehydro-3-methyl-2,6-dideoxy-&alpha;-L-galactose 4-ketoreductase
ENZRXN-19802	2-hydroxy-dATP diphosphatase
ENZRXN-20563	ursolic aldehyde 28-monooxygenase
ENZRXN-646	HCOMODA decarboxylase
ENZRXN-19194	tRNA (guanine<sup>26</sup>-N<sup>2</sup>)-dimethyltransferase
ENZRXN-17879	9'-<i>cis</i>-neurosporene desaturase
ENZRXN-8822	betaine aldehyde dehydrogenase
GLUTAMIDOTRANS-ENZRXN	imidazole glycerol phosphate synthase
ENZRXNQT-9503	serine:glyoxylate aminotransferase
ADENYLATECYC-ENZRXN	adenylate cyclase
ENZRXN3O-175	phenylpyruvate carboxy-lyase
ENZRXN-13946	NAD+-dependent glyceraldehyde-3-phosphate dehydrogenase
ENZRXN3O-1181	NADH pyrophosphatase
ENZRXN-21265	caloxanthin 2'-&beta;-hydroxylase
ENZRXN-17698	phytoene desaturase
ENZRXN-21758	methionol dehydrogenase
ENZRXN-14513	aconitate hydratase
ENZRXN-11959	gibberellin A53,2-oxoglutarate:oxygen oxidoreductase
ENZRXN0-1721	ribose 1,5-bisphosphokinase
DARABKIN-ENZRXN	D-ribulokinase
ENZRXN0-2758	dihydropyrimidine dehydrogenase
ENZRXN66-1505	<i>trans</i>-1,2-dihydrobenzene-1,2-diol dehydrogenase
ENZRXN-16364	1-carboxy-3-chloro-3-chlorobenzoate-<i>cis</i>-4,5-diol dehydrogenase
ENZRXN-12621	5,6-epoxy-3-hydroxy-12'-apo-&beta;-caroten-12'-al dioxygenase
ENZRXN-13209	phenolase
ENZRXN0-5981	sugar-phosphatase
ENZRXN-20719	cellobiose dehydrogenase
ENZRXN66-6278	taurochenodeoxycholate monooxygenase
ENZRXN-12069	L-valine:2-oxoglutarate aminotransferase
ENZRXN-17279	peptidoglycan transglycosylase/D,D transpeptidase
ENZRXN-10984	myo-inositol-1,3,4,5-tetrakisphosphate 6-kinase
ENZRXN0-7646	guanosine 2'3'-cyclic phosphodiesterase
ENZRXN-20263	15-tetracosanal carbonylase
ENZRXN-14671	acrylyl-CoA reductase
ENZRXN-15208	3-oxo-acyl-CoA reductase
ENZRXN66-912	2'-deoxycytidine kinase
ENZRXN-21152	7-methylmyricetin 4'-<i>O</i>-methyltransferase
ENZRXN-17173	1,5-bisdiphosphoinositol tetrakisphosphate phosphohydrolase
ENZRXN-13325	(11,14)-linoleoyl desaturase
PYRUVATEDEH-ENZRXN	pyruvate dehydrogenase
ENZRXN-1233	5-hydroxy-ferulate coenzyme A ligase
ENZRXN-454	lupeol synthase
ENZRXNQT-12414	long-chain-fatty-acid-CoA ligase
ENZRXN-17473	p-coumaroyl-diketide-CoA synthase
ENZRXN-14105	D-xylulokinase
ENZRXN-8935	tetrahydropteroyl-&gamma;-polyglutamate:L-glutamate &gamma;-ligase (ADP-forming)
ENZRXN-19171	xyloglucan-specific endo-&beta;-1,4-glucanase
ENZRXN-17971	(22S)-22-hydroxy-campesterol C-23 hydroxylase
ENZRXN-18470	UWM6 synthase
ENZRXN-18682	nitric oxide reductase
ENZRXN-13644	myrcene synthase
ENZRXN-955	&omega;,<i>E,E</i>-farnesyl diphosphate synthase
ENZRXN-14541	phenylacetaldehyde reductase
ENZRXN-19263	1-monoacylglycerol acylhydrolase
ENZRXN66-1989	1-D-myo-inositol-trisphosphate 3-kinase
ENZRXN-2462	isochorismate synthase
ENZRXN-21050	quercetin 3-<i>O</i>-glucosyltransferase
ENZRXN1F-861	flavonol 3-O-glucosyltransferase
ENZRXN-20747	L-threonine 4-hydroxylase
ENZRXN-62	photosystem II
ENZRXN-15802	spermidine <i>N<sup>1</sup></i>-acetyltransferase
ENZRXN66-3883	alcohol peroxidase
ENZRXN0-6270	23S rRNA m<sup>2</sup>G2445 methyltransferase
ENZRXN-21350	2'-deoxyadenosine kinase (ATP)
ENZRXN-12480	isopentenyl diphosphate isomerase
ENZRXN-84	NADH-ferredoxin oxidoreductase
ENZRXN-15934	(<i>E</i>)-&beta;-farnesene synthase
ENZRXN8J2-1800	nucleoside triphosphate phosphohydrolase
ENZRXN1G-746	cis,cis-delta21,39-3-oxoC58:2-[acp] reductase
ENZRXN-15330	delta12 linoleate acetylenase
ENZRXN-19867	trimethylamine monooxygenase
ENZRXN-16992	purple acid phosphatase
ENZRXN-12695	<i>cis</i>-4-hydroxy-D-proline dehydrogenase
ENZRXN-16851	P-methylase
ENZRXN-14133	magnesium chelatase
ENZRXN-14445	pterocarpan reductase
ENZRXN-18087	<i>N</i>-acetyl-&beta;-D-galactosaminidase
ENZRXN-17582	D-alanine--D-lactate ligase
ENZRXN-16162	3,4-dichloro-6-methylcatechol 1,2-dioxygenase
ASPARTATEKINII-ENZRXN	aspartate kinase
ENZRXN-18990	(1&rarr;3)-(1&rarr;4)-&beta;-D-glucan 4-glucanohydrolase
ENZRXN-14775	1,4-dihydroxy-2-naphthoate phytyltransferase
ENZRXN-1884	UDP-glucose pyrophosphorylase
ENZRXN66-2202	octanal dehydrogenase
ENZRXN-16783	hexaketide pyrone synthase
ENZRXN-19377	santalene synthase
ENZRXN-2902	methylenetetrahydrofolate dehydrogenase
ENZRXN-18295	4-phosphopantoate-&beta;-alanine ligase
ENZRXN-12006	methenyltetrahydrofolate cyclohydrolase
ENZRXN-20870	aspartate transaminase
ENZRXN-12510	sphingolipid long-chain base delta 8 desaturase
ENZRXNQT-12678	(-)-menthol dehydrogenase
ENZRXN-6822	dipicolinate synthase
ENZRXN-21464	urocanate reductase
ENZRXN-20648	sulochrin oxidase
ENZRXN-15468	p-coumaroyl quinate/shikimate 3'-hydroxylase
ENZRXN-16880	arcyriaflavin A <i>N</i>-glycosyl transferase
ENZRXN-20151	succinyl-CoA reductase
ENZRXN-13253	7-hydroxyflavone-glucosyltransferase
ENZRXN-7428	Dol-P-Man:Man<sub>5</sub>GlcNAc<sub>2</sub>-PP-Dol mannosyltransferase
ENZRXN-12805	LPPG:Fo 2-phospho-L-lactate transferase
ENZRXN-9845	(gibberellin-12), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-16409	caffeine permease
ENZRXN-14033	UDP-galactose 4-epimerase
ENZRXN-19500	2-oxo carboxylate decarboxylase
ENZRXN-18867	polyphenol oxidase
ENZRXN-3942	alkane hydroxylase
ENZRXN-14882	loganic acid O-methyltransferase
ENZRXN0-782	2'-deoxyuridine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
ENZRXN-14236	mannosylglycerate synthase
ENZRXN66-4442	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
ENZRXN-20310	3-oxo-arachidoyl-CoA synthase
ENZRXN-6908	myrcene synthase
ENZRXN66-19049	2-oxoglutarate dehydrogenase E1 component
ENZRXN-21580	isoamylase
ENZRXNQT-7451	UDP kinase
ENZRXN-13543	(+)-&alpha;-pinene synthase
ENZRXN-16589	L-thyroxine 5'-deiodinase
SUCCORNTRANSAM-ENZRXN	succinylornithine transaminase
ENZRXN-17066	inositol 1,3,4,6-tetrakisphosphate 5-kinase
ENZRXN-16449	indole-3-acetyl-methionine synthetase
ENZRXN-4922	chalcone isomerase
ENZRXN-11270	myo-inositol-biphosphate phosphohydrolase
ENZRXN0-1631	phosphoprotein phosphatase
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-ENZRXN	UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine <i>N</i>-acyltransferase
ENZRXN-15689	(+)-5-chloromuconolactone dehalogenase
ENZRXN-20446	&Delta;9-elongase
ENZRXN-18021	[heparan sulfate]-&alpha;-L-iduronate-2-<i>O</i>-sulfotransferase
ENZRXN-20337	1,4-dihydroxy-2-naphthoyl-CoA thioesterase
ENZRXN-19055	cellulase
ENZRXN-13697	enolase
ENZRXN66-6182	[heparan sulfate]-glucosamine 3-<i>O</i>-sulfotransferase
ENZRXN-12411	2-aceto-2-hydroxy-butanoate:NADP+ oxidoreductase (isomerizing)
ENZRXN-12919	3-aminobutyryl-CoA deaminase
ENZRXN-5069	chalcone reductase
ENZRXN-19744	linolenate 9<i>R</i>-lipoxygenase
ENZRXN-13851	l,6-di-<i>O</i>-galloylglucose: 1,6-di-<i>O</i>-galloylglucose 2-<i>O</i>-galloyltransferase
ENZRXN-2664	tryptophan synthase
ENZRXN-17166	inositol hexakisphosphate 1-kinase
ENZRXN-20941	Botryococcus squalene synthase
ENZRXN-15916	3-cis,cis-delta7,25-3-hydroxyC44:2-[acyl-carrier protein] dehydratase
ENZRXN-18767	methylaspartate ammonia-lyase
ENZRXN0-6528	diguanylate cyclase
ENZRXN-13730	methylglyoxal reductase (NADH-dependent)
ENZRXN-19163	lycopene dioxygenase
3-OCTPRNL-4-OHBENZOATE-DECARBOX-ENZRXN	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
ENZRXN490-3738	NAD(P)H dehydrogenase, subunit NdhF4
ENZRXN0-6369	lipid kinase
ENZRXN-7850	cyclopentanol dehydrogenase
ENZRXN-19911	dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose 3-ketoreductase
ENZRXN-19938	dTDP-(2R,6S)-6-hydroxy-2-methyl-3-oxo-3,6-dihydro-2<i>H</i>-pyran-4-olate 3-ketoreductase (dTDP-4-dehydro-2,6-dideoxy-&alpha;-D-allose-forming)
ENZRXN-6415	isoflavone-7-O-glucosyltransferase
GLUTDECARBOXA-ENZRXN	glutamate decarboxylase A
ENZRXN-21043	myricetin-3-<i>O</i>-glucoside 1,6-glucosyltransferase
ENZRXN-11899	<i>S</i>-adenosylmethionine decarboxylase
ENZRXN-10311	3-hydroxyindolin-2-one monooxygenase
ENZRXN-15401	cyanidin:NADP+ 4-oxidoreductase
ENZRXN-14311	farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN3O-222	C-5 sterol desaturase
ENZRXN3O-1511	glucose-6-phosphate dehydrogenase
ENZRXN3O-10934	NADH:ubiquinone oxidoreductase 2 (external)
ENZRXN-8325	arylformamidase
ENZRXN-17705	nicotinamide amidase
ENZRXN-13148	stachyose galactinol:verbascose galactosyltransferase
ENZRXN-12209	adenosine kinase
ENZRXN-17640	alcohol dehydrogenase
DEOXYGUANPHOSPHOR-ENZRXN	deoxyguanosine phosphorylase
ENZRXN-16671	palmitoleoyl-CoA desaturase
CYTDEAM-ENZRXN	cytosine deaminase
ENZRXN-14439	2,4,6-triamino-1,3,5-triazine hydrolase
ENZRXN-16328	2-oxo-3-hexenedioate decarboxylase
ENZRXN0-2801	glutaminase
ENZRXN-12077	enoyl-CoA hydratase
ENZRXN0-7512	cysteine transaminase
ENZRXN-18590	tRNA-splicing endonuclease
ENZRXN-19423	ferric-chelate reductase (NADH)
ENZRXN-16775	<i>O</i>-phosphoseryl-tRNA ligase
ENZRXN-20517	taxoid 7&beta;-hydroxylase
ENZRXN-12051	(gibberellin-15), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-18385	[protein]-3-<i>O</i>-(<i>N</i>-acetyl-D-glucosaminyl)-L-threonine <i>O</i>-<i>N</i>-acetyl-&alpha;-D-glucosaminase
ENZRXN-15009	ferric chelate reductase
ENZRXN-13335	(+)-&alpha;-barbatene synthase
ENZRXN-20641	<i>N</i>-acetylgalactosamine-6-phosphate deacetylase
PFRUCTPHOS-ENZRXN	6-phosphofructokinase
ENZRXN-5786	&omega;,<i>E,E</i>-farnesyl diphosphate synthase
ENZRXN-21520	cyclo(L-tyrosyl-L-tyrosyl) synthase
ENZRXN-13920	phosphotransacetylase
ENZRXN-13306	emodin deoxygenase
ENZRXN-18480	NDP-4-dehydro-2,6-dideoxy-&alpha;-D-glucose 3-ketoreductase
ENZRXN-20234	fatty-acyl-[acp] elongase/decarboxylase
ENZRXN-17290	5-methoxytryptamine oxidase
ENZRXN-14026	<i>N</i>-acetylglucosamine-phosphate mutase
ENZRXN-17918	aniline dioxygenase
ENZRXN1G-298	C87-trans-keto-mycolate-[pks13-c-ppb] mycolyltransferase
ENZRXN-12851	D-arabitol dehydrogenase
ENZRXN66-1241	malate dehydrogenase
ENZRXN1G-1077	&alpha;,&alpha;-trehalose-6-mycolate:&alpha;,&alpha;-trehalose-6-mycolate 6-mycolyltransferase
ENZRXN-18451	hydroxymethylglutaryl-CoA lyase
ENZRXN-4310	L-serine:glyoxylate aminotransferase
ENZRXN66-18857	XMP phosphohydrolase
ENZRXN-21159	3',4',5'-trimethylmyricetin 3-<i>O</i>-methyltransferase
ENZRXN-2264	thiocyanate hydrolase
ENZRXN-16064	dehydroquinate synthase
ENZRXN-14943	(4R,6S)-trans-carveol dehydrogenase
ENZRXN-15946	Cu-ATPase
ENZRXN-10787	sarcosine-dimethylglycine methyltransferase
ENZRXN1F-2453	chalcone isomerase
ENZRXN-11244	myo-inositol-triphosphate phosphohydrolase
ENZRXN-13621	(-)-&beta;-bisabolene synthase
ENZRXN-8950	[(S)-acetoin forming]-diacetyl reductase
ENZRXN-18097	monoamine oxidase
ENZRXN0-6198	<i>S</i>-formylglutathione hydrolase
ENZRXN-18211	chorismate mutase
FLAVONADPREDUCT-ENZRXN	flavodoxin NADP<sup>+</sup> reductase
ENZRXN-12405	N,N-dihydroxy-L-tyrosine decarboxylase
ENZRXN-12281	2-keto-methylvalerate decarboxylase
ENZRXN-18065	chondroitin 6-sulfate exolyase
ENZRXN-15776	&alpha;-amyrin synthase
ENZRXN-14548	(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)
ENZRXN-2911	D-galactose-6-phosphate isomerase
ENZRXN-18759	<i>N</i>-acetylphosphatidylethanolamine-hydrolysing phospholipas
ENZRXN-15251	dodeconyl-[acp] reductase
ENZRXN-20054	caffeine <i>N</i>1-demethylase
ENZRXN0-249	methylmalonyl-CoA decarboxylase
ENZRXN-18653	formate dehydrogenase
ENZRXN-2861	ATP synthase
ENZRXN-15477	<i>N</i>-carbamoyl-L-amino-acid hydrolase
ENZRXN-19831	3-oxocholest-4-en-26-al 26-oxidoreductase
ENZRXN-20753	spinosyn rhamnosyltransferase
ENZRXN-6409	kinetin UDP glycosyltransferase
ENZRXN-17517	(4<em>S</em>)-limonene synthase
ENZRXN-3382	aspartate-semialdehyde dehydrogenase
ENZRXN66-6863	progesterone 17-hydroxylase
ENZRXN-611	gibberellin A51,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-19513	4-hydroxy-2-oxoglutarate aldolase
ENZRXN0-6497	23S rRNA m<sup>6</sup>A1618 methyltransferase
AMINEPHEN-ENZRXN	phenylethylamine oxidase
ENZRXN3O-10723	UDP kinase
ENZRXN8J2-1919	malyl-<i>N</i>-acetyl-D-glucosamine <i>N</i>-acetyl hydrolase
ENZRXN-19308	phosphatidylethanolamine <i>N</i>-methyltransferase
ENZRXN-1345	citramalate CoA-transferase
ENZRXN-17215	desferrioxamine cyclase
ENZRXN-21593	&alpha;-<i>seco</i>-amyrin synthase
ENZRXN1G-551	<i>cis</i>-methoxy-meroacyl transferase
ENZRXN-15450	4-amino-2,6-dinitrotoluene UDP-glucosyl transferase
ENZRXN-16271	D-serine ammonia-lyase (pyruvate-forming)
ENZRXN-11982	(gibberellin-20),2-oxoglutarate:oxygen oxidoreductase (3&beta;-hydroxylating)
ENZRXN-14140	chlorophyllide <i>a</i> divinyl reductase
UGD-ENZRXN	UDP-glucose 6-dehydrogenase
ENZRXN-21404	o-coumarate glucosyltransferase
ENZRXN-15601	S-1-(4-hydroxyphenyl)-ethanol dehydrogenase
ENZRXN-21093	2'-hydroxy 3,6,7,4'-tetramethylquercetagetin 3'-<i>O</i>-glucoside 2'-<i>O</i>-methyltransferase
ENZRXN-18378	tRNA cytosine<sup>40</sup>-<i>C</i><sup>5</sup>)-methyltransferase
ENZRXN-16139	5-methylsalicylate 1-hydroxylase
ENZRXN-19472	13-<i>cis</i>-retinol dehydrogenase
ENZRXN-1323	2-oxoglutarate reductase
ENZRXN66-2244	dGDP kinase
ENZRXN-12930	abscisic acid glucosyltransferase
ENZRXN-20226	fatty acid decarboxylase
ENZRXN-12744	violaxanthin deepoxidase
ENZRXN-1965	granule-bound starch synthase I
ENZRXN-8642	isatine reductase
ENZRXN-18274	3-oxoadipyl-CoA thiolase
ENZRXN-21562	D-tagatose 3-epimerase
ENZRXN0-6540	NADH:menaquinone oxidoreductase
ENZRXN0-7679	maltodextrin phosphorylase
ENZRXN-12517	deoxyhumulone oxidase
ENZRXN-4302	glycerate 2-kinase
ENZRXN-14822	CTP-dependent riboflavin kinase
ENZRXN-11687	mimosine synthase
ENZRXN-14483	&beta;-methylmalyl-CoA lyase
ENZRXN-20125	2-deoxy-<i>scyllo</i>-inosose synthase
GLYCDEH-ENZRXN	glycerol dehydrogenase
TREHALOSE6PSYN-ENZRXN	trehalose-6-phosphate synthase
